"spp","bcr","detbcr","mean_off0","mean_off1","mean_off2","adj","alpha"
"EABL","BCR_13",636,-6.69904129442604,-6.69839773499356,-9.16469379463086,2.46629605963729,11.7787382106369
"EABL","BCR_14",168,-4.46005431405912,-4.47037715024348,-9.16391351053724,4.69353636029375,109.238805323837
"EAWP","BCR_4",0,0.932433361458321,0.94388053681604,0.903877861730632,0.0400026750854079,1.04081355845383
"EAWP","BCR_5",0,0.920307912828769,-0.0397884686017717,-0.103122140016665,0.0633336714148935,1.06538226753849
"EAWP","BCR_60",299,1.00165836025092,1.03338182336248,1.05031887026469,-0.0169370469022088,0.983205578523617
"EAWP","BCR_61",0,0.688242437715552,0.927234741169702,0.916071808898568,0.0111629322711335,1.01122547028549
"EAWP","BCR_70",1,0.873590862215415,0.607257560867848,0.659915506977615,-0.0526579461097667,0.948704465041954
"EAWP","BCR_71",3,0.794846688874759,0.856431581052917,0.970186873119937,-0.11375529206702,0.89247632519974
"EAWP","BCR_80",93,1.03819114832986,1.03182258762987,1.07267325947284,-0.0408506718429795,0.959972470164927
"EAWP","BCR_81",153,0.983683234341812,1.05872594554765,1.1285720657115,-0.0698461201638474,0.93253730755383
"EAWP","BCR_82",54,0.960603122538538,1.00019586971183,1.0963309055296,-0.0961350358177677,0.908341349169783
"EAWP","BCR_83",0,0.564289429780865,0.575306715829866,0.799461370032836,-0.22415465420297,0.799191526482823
"EAWP","BCR_9",0,1.00528059580044,0.585598865121418,0.530607968230068,0.0549908968913498,1.05653099691526
"EAWP","BCR_10",0,1.02250948855125,0.892661683725855,0.862249818619621,0.030411865106234,1.03087902963109
"EAWP","BCR_11",359,0.999248522768412,0.996938936171253,1.02888547168444,-0.0319465355131872,0.968558364170822
"EAWP","BCR_12",3578,1.02391022111427,1.01693751125047,1.10228824469322,-0.085350733442745,0.918190187914052
"EAWP","BCR_13",4381,1.02662247775071,0.982050962487572,1.07878545050658,-0.096734488019008,0.907797005118966
"EAWP","BCR_14",1443,0.977407055162719,0.981975115900122,1.09623185034915,-0.114256734449028,0.892028911930708
"EVGR","BCR_4",25,0.0753046821085715,-0.00450543131046356,-0.222367060265902,0.217861628955438,1.24341500308216
"EVGR","BCR_5",482,0.293630437322929,0.266884441024051,0.100616765912598,0.166267675111453,1.18088915405764
"EVGR","BCR_60",337,-0.0683091779403098,0.0456752514158352,0.201097839771157,-0.155422588355322,0.856053342861221
"EVGR","BCR_61",17,0.0351585520928885,-0.0922800001861407,-0.168345460543069,0.0760654603569282,1.07903320574426
"EVGR","BCR_70",2,-0.355663814863063,-0.927511924992067,-0.404480836659934,-0.523031088332133,0.592721231994459
"EVGR","BCR_71",12,-2.00653324607614,-1.84669627283232,-0.10088484483919,-1.74581142799313,0.17450333461283
"EVGR","BCR_80",80,-0.292317303147674,-0.183596855259569,0.223320943905402,-0.406917799164971,0.665698909058729
"EVGR","BCR_81",269,-0.975662605519885,-0.625032007053595,0.293602899872519,-0.918634906926114,0.39906342815228
"EVGR","BCR_82",271,-1.37912168377997,-1.22934132913967,0.182643387315602,-1.41198471645528,0.243659208496288
"EVGR","BCR_83",3,-4.03106245931421,-3.97383846472252,-0.270492210725736,-3.70334625399678,0.0246409335366097
"EVGR","BCR_9",755,0.314968368994536,0.260982701360461,0.062108017315775,0.198874684044686,1.22002906721168
"EVGR","BCR_10",720,0.145251342647605,0.00300685076702684,-0.136797369403664,0.13980422017069,1.15004862049264
"EVGR","BCR_11",150,-0.209357647050288,-0.0101119029351211,0.248856963280143,-0.258968866215264,0.77184705318963
"EVGR","BCR_12",920,-1.02360063276241,-0.66875377020967,0.390276968040667,-1.05903073825034,0.346791779489684
"EVGR","BCR_13",468,-1.10350421406073,-0.740950349838426,0.430712280990728,-1.17166263082915,0.309851344363013
"EVGR","BCR_14",517,-1.7912951110171,-1.4555829583264,0.324989770350785,-1.78057272867719,0.168541591018493
"FOSP","BCR_4",812,0.941403868171706,0.835936121586689,0.771974508916677,0.0639616126700117,1.06605147510628
"FOSP","BCR_5",456,0.88672138152847,0.794390776118492,0.715748396631752,0.0786423794867392,1.08181737279983
"FOSP","BCR_60",626,0.806425334295496,0.57741685426235,0.639131069333707,-0.061714215071357,0.940151529540019
"FOSP","BCR_61",479,0.923122840881969,0.84441017898532,0.823269759330783,0.0211404196545368,1.02136546135376
"FOSP","BCR_70",2164,0.875981611423987,0.684741979707792,0.822797725856453,-0.138055746148661,0.871050132702132
"FOSP","BCR_71",907,0.454837401740676,0.312402998905254,0.824285077454363,-0.511882078549109,0.599366461841262
"FOSP","BCR_80",1254,0.831702169126722,0.751903199028764,0.891197242024748,-0.139294042995985,0.869972181618403
"FOSP","BCR_81",353,0.516036800597039,0.491811942838112,0.796456116966882,-0.30464417412877,0.737385708628411
"FOSP","BCR_82",1667,0.389778560708402,0.339754308381358,0.773298366395324,-0.433544058013966,0.648207733241131
"FOSP","BCR_83",669,-0.361063749220038,-0.889638172053145,0.243457992532945,-1.13309616458609,0.322034639033235
"FOSP","BCR_9",206,0.899532484654127,0.806402279299579,0.723886621904383,0.0825156573951962,1.08601567748259
"FOSP","BCR_10",896,0.813680664914317,0.702085913539458,0.653718287080714,0.0483676264587433,1.04955642912309
